User_ID,h_linear,h_dB
359,3.606370809558075e-10,-119.99999943516052
360,7.2277801930532575e-09,-119.99977312698596
361,1.7808005497310157e-08,-119.99862296169972
362,7.051476805345441e-10,-119.99999784054397
363,2.753540738796806e-08,-119.99670843273097
364,2.4103760809439157e-09,-119.99997476794238
365,1.164416428127234e-09,-119.99999411155443
366,1.1684623049733974e-08,-119.99940709641177
367,6.4584735986251616e-09,-119.99981885137954
368,1.761971825031058e-08,-119.99865192261018
369,7.2112675478890004e-09,-119.99977416240674
370,6.983465533704349e-09,-119.99978820499685
371,4.9274477655451464e-08,-119.98946822252647
372,8.235044394367583e-09,-119.99970548903063
373,8.864106385782132e-11,-119.99999996587646
374,4.319287216237194e-09,-119.99991897772601
375,2.491757413980373e-09,-119.99997303536901
376,2.117012899473423e-09,-119.9999805360784
377,2.610641824687369e-09,-119.9999704009744
378,1.7351801354343142e-09,-119.99998692406382
379,8.047020833238578e-09,-119.99971878369229
380,2.388495147229101e-09,-119.9999752239654
381,5.9269481375198006e-08,-119.9847705272118
382,2.0771148368739688e-11,-119.99999999812628
383,5.761399468610087e-09,-119.99985584388156
384,4.7687614195559585e-08,-119.99013488498952
385,3.9982754074387614e-08,-119.99306282232757
386,3.1587251197214325e-09,-119.99995666829149
387,2.3878712390189204e-08,-119.99752438939635
388,1.1226937839647634e-08,-119.99945263178006
389,5.8470291606752195e-09,-119.99985152702621
390,8.199660715990249e-10,-119.99999708004653
391,2.7639966261353896e-08,-119.99668339701128
392,1.6681238367117872e-08,-119.99879168415474
393,1.0837533938041758e-09,-119.99999489912129
394,5.7524768702749105e-09,-119.99985629003355
395,2.9354127040908674e-08,-119.99625944875184
396,2.40819565885804e-09,-119.99997481357136
397,7.734652693634932e-09,-119.99974019173911
398,2.8082650315466315e-09,-119.99996575014137
399,1.8569740759333132e-09,-119.99998502402025
400,1.5640685660847591e-09,-119.99998937582157
401,1.80484695151625e-08,-119.99858552802799
402,5.372093616354061e-09,-119.99987466707098
403,4.877390637852477e-08,-119.9896808640777
404,1.0420766008678621e-08,-119.99952841495927
405,8.521309819467628e-09,-119.99968465840814
406,1.4784267459375458e-09,-119.99999050743766
407,3.960890822061565e-08,-119.99319184237228
408,1.639886846873679e-09,-119.9999883208431
409,1.8572449475655587e-09,-119.99998501965094
410,5.9131436795730064e-09,-119.99984815042446
411,5.819646661597699e-10,-119.99999852911921
412,1.4725408320741905e-09,-119.99999058287072
413,2.882474507594436e-10,-119.99999963915953
414,1.556860896439403e-08,-119.99894747770169
415,1.1703015522994818e-08,-119.99940522852117
416,5.617537180569728e-10,-119.99999862950912
417,4.10821862331919e-09,-119.99992670273996
418,3.175268701131768e-08,-119.99562350503416
419,3.742099267946607e-09,-119.99993918483652
420,1.2030863811738932e-07,-119.93759006946759
421,1.4485458348952306e-08,-119.99908882197971
422,1.5862837041913853e-07,-119.89207093670828
423,2.7195154185786614e-08,-119.99678924760883
424,7.156236328205755e-09,-119.99977759602777
425,5.126872356766775e-10,-119.99999885846492
426,1.9348477844082893e-09,-119.99998374162608
427,3.3043172774094497e-09,-119.99995258176084
428,9.223715930519289e-10,-119.9999963051572
429,2.694500932382198e-09,-119.99996846887899
430,6.276968425405757e-09,-119.99982888990048
431,3.6563577170476804e-07,-119.45505868968138
432,3.4223442106223263e-10,-119.99999949133523
433,3.410016358529088e-08,-119.99495286577158
434,2.3091935049318814e-09,-119.99997684185291
435,2.166527025871549e-09,-119.99997961496254
436,7.722658204903192e-10,-119.99999740989239
437,5.193091893020736e-09,-119.99988288015997
438,5.255115476377489e-09,-119.99988006585541
439,3.823621828519411e-09,-119.99993650624657
440,4.12462230223735e-10,-119.99999926115619
441,4.6032762709320464e-09,-119.99990797331233
442,1.592361017749693e-08,-119.99889893658825
443,2.1911888874389238e-08,-119.99791531852804
444,3.6284506595690243e-09,-119.99994282266672
445,2.7972589681607375e-09,-119.99996601807618
446,2.4059112209022327e-08,-119.99748685328379
447,3.496377241615328e-09,-119.99994690932755
448,1.598715359745109e-08,-119.99889013255753
449,7.6400139502545e-09,-119.99974651052034
450,1.2853869628491968e-08,-119.99928250939658
451,3.949369923824542e-09,-119.99993226134747
452,9.477913032795207e-08,-119.96116115016144
453,7.089414590784001e-09,-119.99978172995034
454,1.8057587888855714e-09,-119.99998583870149
455,5.357566095020553e-09,-119.9998753440096
456,6.0261634503638044e-09,-119.99984229036016
457,1.91304023724731e-09,-119.99998410605427
458,1.0548800455145742e-09,-119.99999516729568
