User_ID,x_coord_m,y_coord_m,distance_m,angle_rad,ring_assignment,path_loss_dB,path_loss_linear,shadowing_dB,rayleigh_fading,h_linear,h_dB
111,568.9996975003571,1832.6216556172183,1918.9222986855648,1.2697491539666366,0,145.69250813973102,2.6961818823788424e-15,9.05124608684887,0.5154720455405553,9.440987155927525e-09,-119.99961292085706
112,2063.4438065852605,503.9848035705661,2124.1000506485407,0.2395544306471268,0,143.3444977735501,4.629671990949591e-15,-20.5491975814846,0.7985663095459354,5.788232592284814e-07,-118.74506904271074
113,204.5828762644291,-176.2666800905817,270.0446181111229,-0.7111846284636106,0,110.1295360628967,9.706136479625891e-12,2.6488156557149534,0.47377803308344413,1.0880712488640438e-06,-116.60767442090547
114,-678.7957409090245,-957.6629503667184,1173.832178968237,-2.187406895327605,0,139.55454225356283,1.108015344050792e-14,-0.8278614500465382,1.3502742778557064,1.563464247389812e-07,-119.89511690093615
115,-1413.7459038227296,25.51384892375763,1413.9761090847508,3.1235476290229784,0,143.95025735770326,4.026931705038955e-15,16.44796304000694,0.9414078914581633,8.992217743027994e-09,-119.99964884376611
116,334.9866319222579,-605.7852994141048,692.2368615964155,-1.065668748444071,0,129.5663446868737,1.1050082775644717e-13,11.784156560299268,0.8351098169333677,7.148559340109183e-08,-119.97786324001248
117,-1083.900815498181,-492.50173990430017,1190.5456487033098,-2.7151031431462522,0,139.8018152331761,1.046690968165177e-14,-4.461653187198506,0.6210840228824466,1.062043377173749e-07,-119.95128855948604
118,386.2232954348752,-67.53125645497668,392.08277765666105,-0.17310040451407294,0,125.0723297222627,3.1100475406930155e-13,9.621582404495701,1.2271430827609717,2.2604744225801495e-07,-119.78357019115398
119,1011.7468479526177,800.3973214187556,1290.0649427359756,0.6692931726057452,0,139.14584477266777,1.2173501756109978e-14,-1.7732827278954924,0.5649884513513431,7.645598159835819e-08,-119.9746871531709
120,163.7218305979392,101.39192280373257,192.5750758124695,0.5544854894702218,0,113.10386614634825,4.89343005862074e-12,-13.955742187864734,1.2962303665324972,1.4298023069145006e-05,-96.87328811418615
121,-173.329970092003,-30.47149561564509,175.9880410060551,-2.967570378527535,0,108.53118006183257,1.4024325848154933e-11,-24.394970702218046,1.3754042445451784,8.543186599269426e-05,-81.3670071574958
122,-576.7243484139937,1868.17160162575,1955.1665164825388,1.8702252022203392,0,152.82572249098868,5.217083057831074e-16,2.5477869715092614,0.35685412484364154,6.078763512428544e-09,-119.99983952522203
123,1131.8644424160022,1443.2687254843418,1834.159679517267,0.9057412715085865,0,149.05695910674402,1.2425220064861942e-15,10.437878299362623,2.6605444532589577,2.819867157123233e-08,-119.99654801421002
124,897.5331385990994,494.8111418227297,1024.8920923470255,0.5038417027695488,0,130.53418181765272,8.842637430044462e-14,6.347738848818323,1.507373315263543,2.158364500903676e-07,-119.80225339143743
125,1050.8205858486876,54.79785237497141,1052.2484061609637,0.05210048407549981,0,136.59502883628613,2.1902672850828856e-14,-7.921986830783727,1.3644073586567813,5.026804008733823e-07,-119.02157226567513
126,-2130.677120922793,488.3643052351463,2185.9287930423648,2.916278359028547,0,144.37821100348194,3.64904231579991e-15,3.8991593114186185,2.729746002038795,1.0525766289296504e-07,-119.95214834340936
127,-703.0703351717755,864.8603173018527,1114.581205943297,2.2533714472793256,0,135.15039679227863,3.0546420137134583e-14,10.11763516929698,0.3568690969499489,1.9458409723117466e-08,-119.9983559432919
128,823.2282554245954,-322.98681934793996,884.3219131073943,-0.37388705895717705,0,137.37812458981716,1.8288898135840503e-14,-6.653502842184609,0.7214498997888279,2.0988194975592656e-07,-119.81278522241595
129,-159.4286150491579,274.34425570184936,317.3046705188789,2.0972223663773777,0,113.82134654146753,4.148254049849414e-12,1.1219480803132038,1.0123060231063172,1.8119536733402046e-06,-113.68234068048052
130,-1570.2693945762708,1807.5393736815663,2394.356815295514,2.2860659240320835,1,154.13868486114475,3.8559510663538295e-16,1.0263003092129073,1.4719749037379541,2.56833190668439e-08,-119.99713619523484
131,-2344.6570249139777,1723.037586962971,2909.6864247828566,2.5078398786314704,1,156.06344989532943,2.4754548548778763e-16,6.870507459990102,1.2477255366722089,8.900639185230878e-09,-119.99965595955476
132,-1773.251621280222,2603.7635239638835,3150.239006979908,2.1686797369007285,1,153.91561846032633,4.059178540978991e-16,-3.5446699179753893,0.9140110199112378,2.7695168053956553e-08,-119.99667014120533
133,200.83626500102918,3025.32795810058,3031.986883118822,1.5045086318829917,1,152.81716801902067,5.227369482286221e-16,-15.799303004929474,1.1481388099955816,1.6184569307122976e-07,-119.88770516922271
