User1_ID,User2_ID,alpha,R_sum_bitsHz,score
1695,1152,0.997295081615448,15.353609638201792,0.8300123810768127
1888,627,0.9975337982177734,14.878932324324724,0.8298830389976501
67,237,0.9971297383308411,15.188179555042275,0.8294956088066101
1694,1411,0.998063862323761,16.349822909029683,0.8293883800506592
207,1616,0.9973210692405701,15.598311038766052,0.8293527960777283
734,368,0.9978659749031067,16.621181631235103,0.8292816877365112
1998,1006,0.9913737177848816,15.730803135286795,0.8292689919471741
1400,75,0.9950553178787231,14.9038339268531,0.8291012644767761
1480,1644,0.9950952529907227,14.3607828444635,0.8288425803184509
107,1926,0.994615375995636,13.839261695234278,0.8284992575645447
1335,200,0.9993645548820496,16.172982463254975,0.8284437656402588
1716,728,0.9981356859207153,16.737940456658873,0.8283876776695251
1362,426,0.99774569272995,16.15006707012889,0.8283005356788635
29,692,0.9945313930511475,15.100909266638858,0.8281885385513306
1149,51,0.998516857624054,16.318691399116936,0.827966570854187
638,995,0.9965752959251404,15.430724996880802,0.8279167413711548
95,915,0.9970470070838928,15.585744741700463,0.8273922204971313
1536,1399,0.9980474710464478,15.617461357950113,0.8272426724433899
1656,1292,0.9979442954063416,16.15904005391167,0.827190637588501
1462,1080,0.9965483546257019,15.563041307854615,0.8269298672676086
201,952,0.9907823204994202,14.879690811356106,0.8268301486968994
1714,1219,0.9967440366744995,15.588966125382099,0.8267019391059875
1108,1225,0.9986544847488403,14.654624011812418,0.8265081644058228
1285,92,0.9972410202026367,16.612015919424262,0.8259623050689697
1924,1827,0.9979109168052673,16.650744085463742,0.8257123827934265
1919,773,0.9981474876403809,15.57663346256648,0.8254653811454773
851,1246,0.9980846643447876,14.955179356513966,0.8253670334815979
1401,203,0.9981191754341125,16.332180298053892,0.8249432444572449
678,163,0.99700528383255,14.992167080237113,0.8248606324195862
1515,326,0.994305431842804,14.330268393769991,0.8247352242469788
265,1387,0.9943937063217163,15.372584824264806,0.8246155381202698
559,528,0.9943172335624695,14.257478579055935,0.8245571255683899
1548,222,0.9962400197982788,15.045607708262764,0.8245364427566528
1756,102,0.9938974976539612,14.611114966419159,0.8242411613464355
152,1646,0.9953532218933105,15.702089670188723,0.8239946961402893
178,1912,0.9973776340484619,16.137461937777744,0.8238983154296875
276,376,0.9958980679512024,15.00038255640423,0.8238687515258789
449,1458,0.997772753238678,15.705371967000067,0.8237919211387634
397,890,0.9977481961250305,16.28926679395701,0.823384702205658
387,43,0.9962223768234253,15.081707712819227,0.8228040933609009
1446,248,0.9953202605247498,15.945265677505951,0.8223394155502319
780,929,0.9943915009498596,15.173590121277652,0.8214676976203918
1384,1318,0.9977709054946899,16.39090243341188,0.8213436603546143
1063,1421,0.9949416518211365,16.33081995179206,0.8212932348251343
343,1569,0.9973311424255371,14.947111879551937,0.8212127089500427
1849,1553,0.9965786337852478,15.007399994867022,0.820559561252594
764,1236,0.9979708790779114,14.979237832076349,0.8205227851867676
1671,1918,0.996748685836792,14.806256381957475,0.8202543258666992
833,1235,0.9972243309020996,14.791601361978298,0.8201408386230469
908,668,0.996178150177002,16.695862121595503,0.8197755217552185
644,619,0.9934346675872803,15.260338664325772,0.8191047310829163
1505,1220,0.9967308044433594,16.46190097453824,0.8189594149589539
1298,616,0.9984058737754822,15.762130749770506,0.818799614906311
1971,1175,0.9944304823875427,15.042520385437388,0.8187193870544434
993,1218,0.9973645806312561,15.356763416625352,0.8184603452682495
740,818,0.9919829964637756,15.207818510908316,0.8182830214500427
1110,553,0.9978790283203125,16.311696970303473,0.8179435133934021
636,442,0.9929671287536621,15.155062682447866,0.81778883934021
1196,86,0.9944279193878174,15.22034509043512,0.8176692128181458
705,1340,0.996576726436615,14.526703978113781,0.8171527981758118
147,100,0.9964684247970581,14.859407236246291,0.8169739246368408
1200,1461,0.9950017333030701,14.677362044556393,0.8165395259857178
1308,1056,0.9955164790153503,14.729423250568605,0.8164572715759277
1372,1496,0.9956023693084717,15.614642756936544,0.8162559866905212
1754,777,0.9971302151679993,16.66060791324277,0.8161136507987976
1125,1099,0.9960674047470093,14.976166780858787,0.8158612847328186
482,784,0.9981698989868164,16.420477714757904,0.8158186674118042
