User_ID,h_linear,h_dB
370,1.208362569904471e-07,-119.93704542326468
371,1.585819891661876e-08,-119.99890796280569
372,6.942461516588866e-08,-119.97911825596965
373,1.1451921979943695e-08,-119.9994304752581
374,4.977419478445838e-09,-119.99989240615753
375,7.1516725786657365e-09,-119.99977787959762
376,9.768265303758654e-09,-119.99958562028725
377,1.0450275970170573e-08,-119.999525740415
378,9.593168988960267e-09,-119.9996003419933
379,8.34373610585882e-09,-119.99969766368592
380,3.747410201049729e-09,-119.99993901209274
381,4.164517521499684e-09,-119.99992468006569
382,3.174619842410613e-10,-119.99999956230887
383,1.1426299169715384e-07,-119.94366533515235
384,2.5154122226630088e-09,-119.99997252097805
385,9.506070152517068e-09,-119.9996075659166
386,7.429970211898515e-10,-119.99999760250154
387,7.502085589279522e-09,-119.99975558034912
388,2.3962440328210465e-09,-119.99997506294557
389,3.3136878171724094e-09,-119.99995231243918
390,7.686326003022218e-09,-119.99974342810404
391,5.707185439748145e-10,-119.99999858541773
392,9.442289861756328e-09,-119.99961281403293
393,2.7066096472141185e-09,-119.99996818485027
394,6.539484630672715e-09,-119.99981427854729
395,4.84276492108844e-09,-119.9998981488365
396,4.104047401611295e-09,-119.9999268515058
397,2.8328166235226413e-08,-119.996516249559
398,2.658953104181626e-09,-119.99996929535138
399,2.423678198140973e-08,-119.9974496094061
400,5.811398570066541e-09,-119.99985333100969
401,6.003141644289616e-10,-119.99999843490244
402,2.9999544651643005e-09,-119.99996091485903
403,1.1953625456210184e-08,-119.99937948458758
404,1.7538077581134245e-09,-119.99998664180998
405,2.9400005213819823e-09,-119.99996246147107
406,2.0463345288236402e-07,-119.82184445337751
407,2.6911413091565553e-08,-119.99685587284907
408,6.007615891049786e-10,-119.99999843256859
409,2.9424421660526292e-08,-119.9962415199898
410,2.3114094648863842e-09,-119.99997679738543
411,8.14645622770943e-10,-119.99999711781653
412,8.548197354858702e-09,-119.99968266532848
413,2.576749514830123e-09,-119.999971164514
414,1.1978244262959018e-09,-119.99999376881952
415,3.959443835904475e-10,-119.99999931914812
416,1.1736666709103673e-09,-119.99999401762607
