User_ID,x,y,h_linear,h_dB,LOS
295,-842.0134709903022,-298.5119491614862,1.7490480408609113e-07,-135.14391557249186,False
296,-2419.7219739892944,2007.070513526564,1.3773446444783706e-08,-157.21851690332596,False
297,4400.665636577188,-431.67021697437195,4.455426559681126e-09,-167.02026492199425,False
298,-1418.907649841891,1398.3492316096917,3.138608703677998e-08,-150.0649797659962,False
299,1812.5744096751428,3506.3346836712844,8.853072484722115e-09,-161.0571385389754,False
300,265.57016452831556,-226.7674587190848,1.7262762856836028e-06,-115.25778887728092,False
301,713.6986269722419,-275.42844585946057,1.1400054764963129e-06,-118.86185362768072,False
302,959.8212678922454,2387.4200920346307,1.1702072008442838e-08,-158.63400245534262,False
303,-3060.9458381320524,-1745.5789937875456,2.0548909970855325e-08,-153.74380152855278,False
304,-2503.4849791202682,-1623.6521834668085,1.2245565087484325e-08,-158.2397140998445,False
305,-3512.812513706199,2835.1749394894005,2.4037098810252375e-08,-152.38199767919897,False
306,2851.568247024917,1949.0958419398626,1.553553831870394e-08,-156.1729147899259,False
307,1574.912496663767,1058.9760617786549,2.1448202230742915e-07,-133.37214158567033,False
308,-4606.685264497784,-360.10579341201975,1.0749745631577129e-07,-139.37195544396394,False
309,2596.9417660257636,-3049.1661915841364,2.3164179857828414e-08,-152.7032864704432,False
310,1923.3135302053986,1879.9819601903584,1.6585776167140742e-08,-155.60476031914473,False
311,4320.556646130322,2373.194023890776,1.1840073640048076e-08,-158.53217835967925,False
312,-3379.1010452006767,-1544.3800245216794,7.045945445801519e-09,-163.03998181194217,False
313,-483.8199566897954,3284.988890623858,5.023873570709341e-08,-145.9790530785911,False
314,3396.352864914014,-294.596554212337,1.1385411676709447e-08,-158.87226236571314,False
315,448.93793591379506,1472.3088211608865,3.279921559673943e-07,-129.68270436702284,False
316,-3533.7829970588723,1009.6178009219875,1.9710620172442665e-08,-154.10555355902432,False
317,-1753.8575252851856,-3002.587070180068,4.206293996525043e-07,-127.52198686674369,False
318,-999.7289271758237,-1577.8819978684373,1.9268284469104787e-09,-174.2986323119317,False
319,-2541.8035676702425,2101.716095353812,2.9070163395147657e-08,-150.73075175813608,False
320,1135.026469965614,-2392.4285401159077,5.3413701325172036e-08,-145.44678391347855,False
321,-2634.5766035936617,-1185.2983425229404,2.185543868225073e-09,-173.20483610123762,False
322,-3403.8392589594664,2706.1075045742946,4.672855742792085e-09,-166.6064939222143,False
323,3978.7778589028935,1835.1211233132672,1.2128780260416006e-08,-158.3229413323028,False
324,-2646.561867712022,-1677.7366001322107,1.4728403145950539e-08,-156.63629701925313,False
325,1662.710912449526,-2928.19448919806,1.7736049972871525e-09,-175.01796599684442,False
326,-105.29387119469138,1074.472365180372,4.877110474295179e-07,-126.236730327269,False
327,1239.4729041736443,2735.97325045947,1.1862087914739252e-08,-158.51604502250456,False
328,1506.6158950700674,-2225.661106221786,3.6580011474325163e-08,-148.73488580680117,False
